form	lemma	POS	morph
༄༅། །		PUNCT
ཕྱོགས་མེད་	ཕྱོགས་མེད་	ADJ
རི་	རི་	NOUN
མེད་	མེད་	VERB
ཀྱི་	གི་	PART
བསྟན་པ་	བསྟན་པ་	VERB
ལ་	ལ་	PART
འདུན་	འདུན་	VERB
ཞིང་	ཅིང་	PART
དགེ་སྦྱོང་	དགེ་སྦྱོང་	NOUN
གི་	གི་	PART
གཟུགས་བརྙན་	གཟུགས་བརྙན་	NOUN
འཆང་བ་	འཆང་བ་	VERB
བློ་གྲོས་	བློ་གྲོས་	NOUN
མཐའ་ཡས་པ་	མཐའ་ཡས་པ་	ADJ
འི་	གི་	PART
སྡེ་	སྡེ་	NOUN
འི་	གི་	PART
བྱུང་བ་	བྱུང་བ་	VERB
བརྗོད་པ་	བརྗོད་པ་	VERB
ནོར་བུ་	ནོར་བུ་	NOUN
སྣ་ཚོགས་	སྣ་ཚོགས་	DET
མདོག་	མདོག་	NOUN
ཅན་	ཅན་	PART
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།།		PUNCT
མཛད་པ་པོ་	མཛད་པ་པོ་	VERB
།		PUNCT
འཇམ་མགོན་	འཇམ་མགོན་	OTHER
ཀོང་	ཀོང་	NO_POS
སྤྲུལ་	སྤྲུལ་	VERB
བློ་གྲོས་	བློ་གྲོས་	NOUN
མཐའ་	མཐའ་	NOUN
ཡ་		
"།
༄༅། །"		PUNCT
མཎིབིཤྭབརྞྞམཱནྣཱམཱཔཀྵནིརནྭཡཱནཱཾཤཱསནཾཙྪནྡཤྲམཎཔྲཏིབིམྦདྷརམཏྱནནྟསེནཱབྲྀཏྟཀོདྡིཥྚབིཧརཏིསྨ་		NON_WORD
"།
༄།"		PUNCT
ཨནུཔལཾབྷཀྲྀཔཱིཤྲཱིམཱཾསངྒུརུཤྩཱདྷིདེབབརཱབྷེདཱནཱཾཔཱདཽམཧཱདརཻཿ་		NON_WORD
ནམཱ་		NON_WORD
ཤ་	ཤ་	NOUN
རཎཾ་		NON_WORD
ག་	ག་	PRON
ཙྪཱམི་		NON_WORD
"། །
༄།"		PUNCT
སརྦཛནྨེཥུམཧཱཀཱརུཎེནཱནུགྲཧཤྩ་		NON_WORD
།		PUNCT
ཏྲིམུ་		NON_WORD
ཤ་	ཤ་	NOUN
ཡཔྲ་		NON_WORD
། །		PUNCT
